"","Number","Question","Answer1","Answer2","DOI","Year","Author","Comments","title","journal","abstract"
"12",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1002/eap.1664",2018,"Ali","NA","Demographic drivers of a refugee species: large‐scale experiments guide strategies for reintroductions of hirola","Ecological Applications","Abstract
                    Effective reintroduction strategies require accurate estimates of vital rates and the factors that influence them. The hirola (
                    Beatragus hunteri
                    ) is the rarest antelope on Earth, with a global population size of <500 individuals restricted to the Kenya–Somali border. We estimated vital rates of hirola populations exposed to varying levels of predation and rangeland quality from 2012 to 2015, and then built population matrices to estimate the finite rate of population change (λ) and demographic sensitivities. Mean survival for all age classes and population growth was highest in the low‐predation–high‐rangeland‐quality setting (λ = 1.08 ± 0.03 [mean ±
                    SE]
                    ), and lowest in the high‐predation–low‐rangeland‐quality setting (λ = 0.70 ± 0.22). Retrospective demographic analyses revealed that increased fecundity (the number of female calves born to adult females annually) and female calf survival were responsible for higher population growth where large carnivores were absent. In contrast, variation in adult female survival was the primary contributor to differences in population growth attributable to rangeland quality. Our analyses suggest that hirola demography is driven by a combination of top‐down (predation) and bottom‐up (rangeland quality) forces, with populations in the contemporary geographic range impacted both by declining rangeland quality and predation. To enhance the chances of successful reintroductions, conservationists can consider rangeland restoration to boost both the survival and fecundity of adult females within the hirola's historical range.
                  "
"13",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1002/ece3.1290",2014,"Davis","NA","An integrated modeling approach to estimating Gunnison sage‐grouse population dynamics: combining index and demographic data","Ecology and Evolution","Abstract
                    Evaluation of population dynamics for rare and declining species is often limited to data that are sparse and/or of poor quality. Frequently, the best data available for rare bird species are based on large‐scale, population count data. These data are commonly based on sampling methods that lack consistent sampling effort, do not account for detectability, and are complicated by observer bias. For some species, short‐term studies of demographic rates have been conducted as well, but the data from such studies are typically analyzed separately. To utilize the strengths and minimize the weaknesses of these two data types, we developed a novel Bayesian integrated model that links population count data and population demographic data through population growth rate (
                    λ
                    ) for Gunnison sage‐grouse (
                    Centrocercus minimus
                    ). The long‐term population index data available for Gunnison sage‐grouse are annual (years 1953–2012) male lek counts. An intensive demographic study was also conducted from years 2005 to 2010. We were able to reduce the variability in expected population growth rates across time, while correcting for potential small sample size bias in the demographic data. We found the population of Gunnison sage‐grouse to be variable and slightly declining over the past 16 years.
                  "
"14",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1111/evo.12952",2016,"Kvalnes","NA","Harvest-induced phenotypic selection in an island population of moose,<i>Alces alces</i>","Evolution",NA
"15",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1371/journal.pone.0094700",2014,"Rota","NA","The Role of Wildfire, Prescribed Fire, and Mountain Pine Beetle Infestations on the Population Dynamics of Black-Backed Woodpeckers in the Black Hills, South Dakota","PLoS ONE",NA
"16",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1371/journal.pone.0034379",2012,"Hostetler","NA","Stochastic Population Dynamics of a Montane Ground-Dwelling Squirrel","PLoS ONE",NA
"17",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1111/gcb.12289",2013,"Fordham","NA","Population dynamics can be more important than physiological limits for determining range shifts under climate change","Global Change Biology","Abstract
                    Evidence is accumulating that species' responses to climate changes are best predicted by modelling the interaction of physiological limits, biotic processes and the effects of dispersal‐limitation. Using commercially harvested blacklip (
                    H
                      aliotis rubra
                    
                    ) and greenlip abalone (
                    H
                      aliotis laevigata
                    
                    ) as case studies, we determine the relative importance of accounting for interactions among physiology, metapopulation dynamics and exploitation in predictions of range (geographical occupancy) and abundance (spatially explicit density) under various climate change scenarios. Traditional correlative ecological niche models (
                    ENM
                    ) predict that climate change will benefit the commercial exploitation of abalone by promoting increased abundances without any reduction in range size. However, models that account simultaneously for demographic processes and physiological responses to climate‐related factors result in future (and present) estimates of area of occupancy (
                    AOO
                    ) and abundance that differ from those generated by
                    ENM
                    s alone. Range expansion and population growth are unlikely for blacklip abalone because of important interactions between climate‐dependent mortality and metapopulation processes; in contrast, greenlip abalone should increase in abundance despite a contraction in
                    AOO
                    . The strongly non‐linear relationship between abalone population size and
                    AOO
                    has important ramifications for the use of
                    ENM
                    predictions that rely on metrics describing change in habitat area as proxies for extinction risk. These results show that predicting species' responses to climate change often require physiological information to understand climatic range determinants, and a metapopulation model that can make full use of this data to more realistically account for processes such as local extirpation, demographic rescue, source‐sink dynamics and dispersal‐limitation.
                  "
"18",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1655/HERPETOLOGICA-D-12-00038R2",2013,"PÃ©rez-Mendoza","NA","Demographic Importance of the Life-Cycle Components in<i>Sceloporus grammicus</i>","Herpetologica",NA
"19",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1111/ibi.12125",2014,"Altwegg","NA","Nestboxes and immigration drive the growth of an urban Peregrine Falcon<i>Falco peregrinus</i>population","Ibis","
                    Drivers of wildlife population dynamics are generally numerous and interacting. Some of these drivers may impact demographic processes that are difficult to estimate, such as immigration into the focal population. Populations may furthermore be small and subject to demographic stochasticity. All of these factors contribute to blur the causal relationship between past management action and current population trends. The urban Peregrine Falcon
                    Falco peregrinus
                    population in Cape Town, South Africa, increased from three pairs in 1997 to 18 pairs in 2010. Nestboxes were installed over this period to manage the interface between new urban pairs of Falcons and the human users of colonized buildings, and incidentally to improve breeding success. We used integrated population models (IPMs) formally to combine information from a capture–mark–recapture study, monitoring of reproductive success and counts of population size. As all local demographic processes were directly observed, the
                    IPM
                    approach also allowed us to estimate immigration by difference. The provision of nestboxes, as a possible stimulant of population growth, improved breeding success and accounted for an estimated 3–26% of the population increase. The most important driver of growth, however, was immigration. Despite low sample sizes, the
                    IPM
                    approach allowed us to obtain relatively precise estimates of the population‐level impact of nestbox deployment. The goal of conservation interventions is often to increase population size, so the effectiveness of such interventions should ideally be assessed at the population level.
                    IPM
                    s are powerful tools in this context for combining demographic information that may be limited due to small population size or practical constraints on monitoring. Our study quantitatively documented both the immigration process that led to growth of a small population and the effect of a management action that helped the process.
                  "
"20",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1111/1365-2656.12206",2014,"Szostek","really badly written methods and results - equations with nothing defined until much later","Immigrants are attracted by local pre‐breeders and recruits in a seabird colony","Journal of Animal Ecology","SummaryImmigration is a major demographic factor shaping population dynamics. However, due to methodological difficulties, the extent of immigration and factors affecting immigration are insufficiently studied. This is also true for seabird colonies.
                          We estimated annual immigration based on a long‐term study of a colony of common terns
                          Sterna hirundo
                          marked with transponders, using a Bayesian integrated population model that links colony size and productivity with individual life histories.
                        Strong annual fluctuations in the number of immigrants were found. To identify whether colony‐specific covariates influenced immigration, we related the number of immigrants to various proxy variables for breeding site quality, specifically colony size, productivity, number of local subadults and local recruits. Numbers of local recruits and local subadults showed strong positive correlations with number of immigrants.We found that variation in immigration rate had strongly contributed to variation in colony growth rate, more so than variation in local recruitment or adult survival.Collectively, results suggest that immigration strongly affects colony growth rate, that the driving force behind immigration is natal dispersal and that immigrants were attracted by local recruits."
"21",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1111/j.1365-2664.2012.02163.x",2012,"Harris","NA","Managing the long‐term persistence of a rare cockatoo under climate change","Journal of Applied Ecology","Summary1.
                     Linked demographic‐bioclimatic models are emerging tools for forecasting climate change impacts on well‐studied species, but these methods have been used in few management applications, and species interactions have not been incorporated. We combined population and bioclimatic envelope models to estimate future risks to the viability of a cockatoo population posed by climate change, increased fire frequency, beak‐and‐feather disease and reduced management.
                  2.
                     The South Australian glossy black‐cockatoo
                    Calyptorhynchus lathami halmaturinus
                    is restricted to Kangaroo Island, Australia, where it numbers 350 birds and is managed intensively. The cockatoo may be at particular risk from climate change because of its insular geographic constraints and specialised diet on a single plant species,
                    Allocasuarina verticillata
                    . The cockatoo population model was parameterised with mark‐resight‐derived estimates of survival and fecundity from 13 years of demographic data. Species interactions were incorporated by using a climate‐change‐driven bioclimatic model of
                    Allocasuarina verticillata
                    as a dynamic driver of habitat suitability. A novel application of Latin Hypercube sampling was used to assess the model’s sensitivity to input parameters.
                  3.
                     Results suggest that unmitigated climate change is likely to be a substantial threat for the cockatoo: all high‐CO
                    2
                    ‐concentration scenarios had expected minimum abundances of <160 birds. Extinction was virtually certain if management of nest‐predating brush‐tail possums
                    Trichosurus vulpecula
                    was stopped, or adult survival reduced by as little as 5%. In contrast, the population is predicted to increase under low‐emissions scenarios.
                  4.
                     Disease outbreak, increased fire frequency and reductions in revegetation and management of competitive little corellas
                    Cacatua sanguinea
                    , were all predicted to exacerbate decline, but these effects were buffered by the cockatoo population’s high fecundity.
                  5.
                     Spatial correlates of extinction risk, such as range area and total habitat suitability, were nonlinearly related to projected population size in the high‐CO
                    2
                    ‐concentration scenario.
                  6.
                     
                    Synthesis and applications
                    . Mechanistic demographic‐bioclimatic simulations that incorporate species interactions can provide more detailed viability analyses than traditional bioclimatic models and be used to rank the cost‐effectiveness of management interventions. Our results highlight the importance of managing possum predation and maintaining high adult cockatoo survival. In contrast, corella and revegetation management could be experimentally reduced to save resources.
                  "
"22",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.3354/esr00657",2015,"Whitehead","NA","Conflicting rates of increase in the sperm whale population of the eastern Caribbean: positive observed rates do not reflect a healthy population","Endangered Species Research",NA
"23",6,"If reported, was the uncertainty complete for all parameters?","yes","I think so","10.1080/02755947.2015.1111279",2016,"Ng","NA","Population Dynamics and Evaluation of Alternative Management Strategies for Nonnative Lake Trout in Priest Lake, Idaho","North American Journal of Fisheries Management","Abstract
                    Lake Trout
                    Salvelinus namaycush
                    have been introduced widely throughout the western USA to enhance recreational fisheries, but high predatory demand can create challenges for management of yield and trophy fisheries alike. Lake Trout were introduced to Priest Lake, Idaho, during the 1920s, but few fishery‐independent data are available to guide current or future management actions. We collected fishery‐independent data to describe population dynamics and evaluate potential management scenarios using an age‐structured population model. Lake Trout in Priest Lake were characterized by fast growth at young ages, which resulted in young age at maturity. However, adult growth rates and body condition were lower than for other Lake Trout populations. High rates of skipped spawning (>50%) were also observed. Model projections indicated that the population was growing (λ = 1.03). Eradication could be achieved by increasing annual mortality to 0.32, approximately twice the current rate. A protected slot length limit could increase population length‐structure, but few fish grew fast enough to exit the slot. In contrast, a juvenile removal scenario targeting age‐2 to age‐5 Lake Trout maintained short‐term harvest of trophy‐length individuals while reducing overall population abundance.
                  "
"24",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1111/j.1600-0706.2011.19436.x",2011,"Hebblewhite","NA","Demographic balancing of migrant and resident elk in a partially migratory population through forage–predation tradeoffs","Oikos","Partial migration is widespread in ungulates, yet few studies have assessed demographic mechanisms for how these alternative strategies are maintained in populations. Over the past two decades the number of resident individuals of the Ya Ha Tinda elk herd near Banff National Park has been increasing proportionally despite an overall population decline. We compared demographic rates of migrant and resident elk to test for demographic mechanisms partial migration. We determined adult female survival for 132 elk, pregnancy rates for 150 female elk, and elk calf survival for 79 calves. Population vital rates were combined in Leslie‐matrix models to estimate demographic fitness, which we defined as the migration strategy‐specific population growth rate. We also tested for differences in factors influencing risk of mortality between migratory strategies for adult females using Cox‐proportional hazards regression and time‐varying covariates of exposure to forage biomass, wolf predation risk, and group size. Despite higher pregnancy rates and winter calf weights associated with higher forage quality, survival of migrant adult females and calves were lower than resident elk. Resident elk traded high quality food to reduce predation risk by selecting areas close to human activity, and by living in group sizes 20% larger than migrants. Thus, residents experienced higher adult female survival and calf survival, but lower pregnancy and calf weights. Cause‐specific mortality of migrants was dominated by wolf and grizzly bear mortality, whereas resident mortality was dominated by human hunting. Demographic differences translated into slightly higher (2–3%), but non‐significant, resident population growth rate compared to migrant elk, suggesting demographic balancing between resident strategies during our study. Despite statistical equivalence, our results are also consistent with slow long‐term declines in migrants because of high predation because of higher wolf‐caused mortality in migrants. These results emphasize that migrants and residents will make different tradeoffs between forage and risk may affect the demographic balance of partially migratory populations, which may explain recent declines in migratory behavior in many ungulate populations around the world."
"25",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.7717/peerj.549",2014,"Beissinger","NA","Digging the pupfish out of its hole: risk analyses to guide harvest of Devils Hole pupfish for captive breeding","PeerJ",NA
"26",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1111/rec.12409",2016,"Wang","NA","On the sustainability of a reintroduced Crested Ibis population in Qinling Mountains, Shaanxi, Central China","Restoration Ecology","Abstract
                    Reintroduction projects aim to reestablish a self‐sustaining population of an endangered species within its historical range. Adequate post‐release monitoring by gathering demographic data is important to evaluate the success of a reintroduction. Survival and reproduction rates of a reintroduced population can be compared with a self‐sustaining wild population to evaluate the success of a reintroduction. In early 2007,
                    Nipponia nippon
                    (Crested Ibis) was reintroduced into the Qinling Mountains (Shaanxi, Central China). In this study, we attempt to evaluate the demographic status of the reintroduced population. Age‐specific survival rates of 56 released adults and 77 wild‐born fledglings were estimated using mark‐recapture data obtained from 2007 to 2014. Survival rates for the yearlings (0.599, with 95% confidence interval [
                    CI
                    ]: 0.467–0.719) were lower than the estimates from a wild population in Yangxian County, but the survival rates of the adults (0.678, with 95%
                    CI
                    : 0.603–0.745) were similar. The number of breeding pairs gradually increased since 2008, although breeding success (52.5%) was somewhat less than that of the wild population (67.6%). The stochastic estimation of population growth rate (1.084 with 95%
                    CI
                    : 1.069–1.098) and population size (5‐fold increase) estimated from an age‐classified Leslie matrix indicate that the reintroduced population of the Crested Ibis is more likely in regulation phase over the next 25 years. We conclude that the reintroduction of the Crested Ibis in Qinling Mountains has great promise, and progress toward a self‐sustaining population has been made under some interventions. Governments, local communities, and scientists need to facilitate habitat restoration for the long‐term survival of this endangered species.
                  "
"27",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1111/risa.12988",2018,"Boveng","NA","A Bayesian Analysis of Abundance, Trend, and Population Viability for Harbor Seals in Iliamna Lake, Alaska","Risk Analysis","AbstractHarbor seals in Iliamna Lake, Alaska, are a small, isolated population, and one of only two freshwater populations of harbor seals in the world, yet little is known about their abundance or risk for extinction. Bayesian hierarchical models were used to estimate abundance and trend of this population. Observational models were developed from aerial survey and harvest data, and they included effects for time of year and time of day on survey counts. Underlying models of abundance and trend were based on a Leslie matrix model that used prior information on vital rates from the literature. We developed three scenarios for variability in the priors and used them as part of a sensitivity analysis. The models were fitted using Markov chain Monte Carlo methods. The population production rate implied by the vital rate estimates was about 5% per year, very similar to the average annual harvest rate. After a period of growth in the 1980s, the population appears to be relatively stable at around 400 individuals. A population viability analysis assessing the risk of quasi‐extinction, defined as any reduction to 50 animals or below in the next 100 years, ranged from 1% to 3%, depending on the prior scenario. Although this is moderately low risk, it does not include genetic or catastrophic environmental events, which may have occurred to the population in the past, so our results should be applied cautiously."
"28",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1007/s00442-011-2070-5",2012,"Schaub","NA","The demographic drivers of local population dynamics in two rare migratory birds","Oecologia",NA
"29",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1007/s10336-011-0758-2",2012,"Duckworth","NA","Demography and population ecology of the Hadeda Ibis (Bostrychia hagedash) at its expanding range edge in South Africa","Journal of Ornithology",NA
"30",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1038/s41467-018-03506-3",2018,"VandeWalle","NA","Hunting regulation favors slow life histories in a large carnivore","Nature Communications","AbstractAs an important extrinsic source of mortality, harvest should select for fast reproduction and accelerated life histories. However, if vulnerability to harvest depends upon female reproductive status, patterns of selectivity could diverge and favor alternative reproductive behaviors. Here, using more than 20 years of detailed data on survival and reproduction in a hunted large carnivore population, we show that protecting females with dependent young, a widespread hunting regulation, provides a survival benefit to females providing longer maternal care. This survival gain compensates for the females’ reduced reproductive output, especially at high hunting pressure, where the fitness benefit of prolonged periods of maternal care outweighs that of shorter maternal care. Our study shows that hunting regulation can indirectly promote slower life histories by modulating the fitness benefit of maternal care tactics. We provide empirical evidence that harvest regulation can induce artificial selection on female life history traits and affect demographic processes."
"31",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.1007/s10336-011-0745-7",2012,"Szostek","NA","Terns in trouble: demographic consequences of low breeding success and recruitment on a common tern population in the German Wadden Sea","Journal of Ornithology",NA
"32",6,"If reported, was the uncertainty complete for all parameters?","yes","NA","10.2981/13-021",2013,"Suzuki","NA","Population viability analysis of the Japanese rock ptarmigan <i>Lagopus muta japonica</i> in Japan","Wildlife Biology","
                    The Japanese rock ptarmigan
                    Lagopus muta japonica
                    breeds only in limited alpine areas at high elevations (> 2,500 m a.s.l.) in Japan. The estimated population size is about 2,000 birds and their breeding distribution is subdivided into several local areas, in each of which they may be at risk of local extinction. We estimated age‐specific demographic parameters of the core population breeding on Mt. Norikura in Gifu and Nagano prefecture in Japan. We also estimated population viability using deterministic and stochastic population models. Age‐specific fertility (the number of female offspring that survived to the next breeding season per female) was 0.417 ± 0.086, 0.490 ± 0.080, 0.513 ± 0.153, 0.435 ± 0.078, 0.562 ± 0.139, 0.580 ± 0.122 (mean ± SE) for ages 1‐6+, respectively. The annual survival rate was 0.739 ± 0.047, 0.624 ± 0.064, 0.513 ± 0.087, 0.732 ± 0.151, 0.447 ± 0.220, 0.486 ± 0.089. The population growth rate, evaluated by use of a deterministic projection‐matrix model, predicted a stable population, λ = 1.105 ± 0.063, 95% CI = 0.985‐1.231 and λ = 1.114 ± 0.062, 0.996‐1.239, using two different assumptions for the final age of reproduction by ptarmigan. We evaluated the risk of extinction as the proportion of λs that was < 1, and this was ≤ 4.4%. To complement the deterministic model, we developed an individual‐based stochastic population model in which each of the individuals produced a variable number of offspring and survived one year with certain probabilities that were drawn from estimated distributions of age‐specific clutch size and survival rates. Averaged population growth rate under the stochastic model was λ = 1.1, and the risk of extinction defined as the proportion of trials in which population size ≤ 1 within 30 years was ≤ 8.9%, even when the starting population was small (15 birds). These results suggest that the local population at Mt. Norikura is stable in size and suffers a relatively low risk of extinction. We suggest that this population can serve as a potential source for surrounding small local populations that may be sink populations.
                  "
"33",6,"If reported, was the uncertainty complete for all parameters?","yes","process variation","10.1002/wmon.1012",2014,"Howerter","NA","Variation in mallard vital rates in Canadian Aspen Parklands: The Prairie Habitat Joint Venture assessment","Wildlife Monographs","ABSTRACT
                      The Prairie Habitat Joint Venture (PHJV) delivers conservation programs for the Canadian portion of the Prairie Pothole Region under the North American Waterfowl Management Plan. The PHJV Assessment was designed to evaluate biological assumptions and effectiveness of PHJV conservation activities. Our objectives were to 1) test whether waterfowl reproductive success increased in response to the full suite of PHJV habitat treatments, and 2) quantify the relationships between mallard (
                      Anas platyrhynchos
                      ) vital rates and landscape variables. We focused on examining the association of mallard vital rates with covariates measured at the study‐area scale. We collected information on vital rates from 3,214 radio‐marked female mallards at 27 study areas mainly throughout the Aspen Parkland ecoregion of Manitoba, Saskatchewan, and Alberta in 1993–2000. We used a modeling framework and information‐theoretic techniques to test hypotheses about putative effects of environmental covariates on adult female and duckling survival, nesting effort, and nest survival. Additionally, we constructed a stage‐based matrix projection model of mallard population growth (
                      λ
                      ) to estimate the sensitivities of population growth rates to variation in vital rates. Nest survival was positively related to the amount of herbaceous vegetation on study areas and total precipitation for the 12 months prior to nesting. Nesting effort was positively related to wetland inundation in July. Duckling survival was positively related to the proportion of seasonal wetlands holding water in July and negatively related to the number of days in June and July when the minimum air temperature dropped below 10° C. Adult female survival rate was positively related to both the proportions of grassland and wetland habitats measured at the study‐area scale (65 km
                      2
                      ), though these factors interacted such that the positive relationship with proportion of wetlands was strongest on study sites with high proportions of grassland. The stage‐based projection model constructed using mean vital rates indicated that populations were declining (mean
                      λ
                       = 0.95, median
                      λ
                       = 0.98, 5th percentile = 0.68, 95th percentile = 1.38). Variance‐stabilized sensitivities indicated that population growth was most responsive to variation in vital rates for after‐second‐year birds and that nest survival was the single vital rate to which populations were most sensitive. A prospective simulation revealed that, as expected, sensitivity to nest survival is likely to decrease at higher levels of nest survival. Despite evidence that nest survival was higher in PHJV habitat treatments than surrounding habitats, our a priori PHJV treatment index was unrelated to mallard vital rates estimated at the 65‐km
                      2
                      scale. Although mallard populations were affected by several weather variables and land uses, efforts to increase populations should focus on improving nest survival rates, which currently are below approximately 30%. © 2014 The Wildlife Society.
                    "
